name,gb,gddr,price,link
XFX SPEEDSTER QICK 319 AMD Radeon RX 6700 XT BLACK 12GB GDDR6,12,GDDR6,721.6,https://www.pccomponentes.com/xfx-speedster-qick-319-amd-radeon-rx-6700-xt-black-12gb-gddr6
Zotac Gaming GeForce RTX 3060 AMP White Edition 12GB GDDR6,12,GDDR6,634.83,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3060-amp-white-edition-12gb-gddr6
Asus GeForce GT 710 2 GB GDDR5,2,GDDR5,99.47,https://www.pccomponentes.com/asus-geforce-gt-710-2-gb-gddr5
Gigabyte GeForce RTX 3070 Ti GAMING OC 8GB GDDR6X Reacondicionado,8,GDDR6X,799.99,https://www.pccomponentes.com/gigabyte-geforce-rtx-3070-ti-gaming-oc-8gb-gddr6x-reacondicionado
Asus DUAL GeForce RTX 3060 Ti V2 MINI OC Edition LHR 8GB GDDR6,8,GDDR6,609.43,https://www.pccomponentes.com/asus-dual-geforce-rtx-3060-ti-v2-mini-oc-edition-lhr-8gb-gddr6
Zotac Gaming GeForce RTX 3060 Ti AMP White Edition LHR 8GB GDDR6,8,GDDR6,848.0,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3060-ti-amp-white-edition-lhr-8gb-gddr6
Asus TUF GeForce RTX 3090 Gaming OC 24GB GDDR6X,24,GDDR6X,2449.81,https://www.pccomponentes.com/asus-tuf-geforce-rtx-3090-gaming-oc-24gb-gddr6x
Asus ROG Strix GeForce RTX 3050 OC Edition 8GB GDDR6,8,GDDR6,620.52,https://www.pccomponentes.com/asus-rog-strix-geforce-rtx-3050-oc-edition-8gb-gddr6
MSI GeForce RTX 3060 VENTUS 3X OC 12GB GDDR6,12,GDDR6,569.61,https://www.pccomponentes.com/msi-geforce-rtx-3060-ventus-3x-oc-12gb-gddr6
XFX SPEEDSTER SWFT309 AMD Radeon RX 6700XT CORE Gaming 12GB GDDR6,12,GDDR6,696.67,https://www.pccomponentes.com/xfx-speedster-swft309-amd-radeon-rx-6700xt-core-gaming-12gb-gddr6
Asus Phoenix GeForce RTX 3050 8GB GDDR6,8,GDDR6,411.12,https://www.pccomponentes.com/asus-phoenix-geforce-rtx-3050-8gb-gddr6
PowerColor AMD Radeon RX 6800XT Red Devil 16GB GDDR6,16,GDDR6,1178.72,https://www.pccomponentes.com/powercolor-amd-radeon-rx-6800xt-red-devil-16gb-gddr6
Asus TUF Gaming GeForce GTX 1660 Ti EVO OC Edition 6GB GDDR6 Reacondicionado,6,GDDR6,401.65,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1660-ti-evo-oc-edition-6gb-gddr6-reacondicionado
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 12GB GDDR6X Reacondicionado,12,GDDR6X,1342.1,https://www.pccomponentes.com/evga-geforce-rtx-3080-ftw3-ultra-gaming-12gb-gddr6x-reacondicionado
